Light,Pressure,X,Y,Z
939,0,0.67,-0.04,-9.14
912,0,0.67,-0.04,-9.18
930,0,0.67,-0.04,-9.1
1072,0,0.67,-0.04,-9.14
1460,0,0.63,-0.04,-9.1
1738,0,0.63,-0.08,-9.1
1872,0,0.63,0,-9.1
1769,0,0.67,-0.04,-9.14
1653,0,0.63,-0.04,-9.14
1584,0,0.59,-0.04,-9.1
1634,0,0.63,0,-9.1
1742,0,0.67,-0.04,-9.1
2079,0,0.67,-0.04,-9.1
2590,0,0.59,0,-9.18
2704,0,0.59,0,-9.1
2576,0,0.67,-0.04,-9.14
2414,0,0.67,0,-9.14
2284,0,0.63,-0.04,-9.14
2227,0,0.63,0,-9.1
2240,0,0.63,0,-9.1
2223,0,0.67,-0.04,-9.14
2283,0,0.63,-0.04,-9.1
2540,0,0.71,-0.04,-9.1
2782,0,0.71,0,-9.14
2796,0,0.67,-0.04,-9.06
2745,0,0.67,-0.04,-9.14
2559,0,0.67,-0.04,-9.1
1217,0,0.63,0,-9.14
479,0,0.67,-0.04,-9.14
783,0,0.71,-0.08,-9.1
880,0,0.67,0,-9.1
896,0,0.67,-0.04,-9.06
945,0,0.63,-0.04,-9.1
1035,0,0.59,0,-9.18
1188,0,0.63,-0.04,-9.14
1508,0,0.63,0,-9.14
1760,0,0.67,-0.04,-9.14
2009,0,0.67,-0.04,-9.14
2064,0,0.67,-0.04,-9.14
2068,0,0.71,-0.04,-9.14
2128,0,0.67,-0.04,-9.14
2150,0,0.71,-0.08,-9.1
2160,0,0.67,-0.08,-9.14
2149,0,0.67,-0.04,-9.06
2190,0,0.67,-0.04,-9.14
2235,0,0.59,0,-9.14
2010,0,0.67,-0.04,-9.1
278,0,0.63,0,-9.18
17,0,0.63,-0.04,-9.1
13,0,0.59,0,-9.14
371,0,0.63,-0.04,-9.14
887,0,0.63,-0.04,-9.14
1235,0,0.63,-0.04,-9.22
1798,0,0.63,-0.04,-9.1
2099,0,0.63,-0.08,-9.14
2053,0,0.63,-0.04,-9.1
1996,0,0.67,-0.04,-9.14
1986,0,0.67,-0.04,-9.14
1626,0,0.67,-0.04,-9.1
725,0,0.67,-0.04,-9.14
9,0,0.71,-0.08,-9.06
0,0,0.63,-0.04,-9.06
0,0,0.67,-0.04,-9.1
0,0,0.71,0,-9.1
0,0,0.67,0,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.67,0,-9.06
0,0,0.71,-0.04,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.1
29,0,0.63,-0.04,-9.1
976,0,0.63,0,-9.18
1916,0,0.67,0,-9.1
2723,0,0.63,-0.04,-9.1
2799,0,0.63,-0.04,-9.1
2768,0,0.67,0,-9.14
2754,0,0.63,-0.08,-9.14
2704,0,0.67,-0.08,-9.06
2627,0,0.63,-0.04,-9.14
2544,0,0.63,-0.04,-9.18
2462,0,0.71,-0.08,-9.1
1329,0,0.67,-0.04,-9.1
17,0,0.63,-0.04,-9.06
0,0,0.63,-0.04,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.04,-9.18
0,0,0.63,0,-9.18
0,0,0.67,-0.08,-9.14
0,0,0.63,-0.04,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.71,-0.04,-9.14
0,0,0.63,-0.04,-9.14
0,0,0.63,0,-9.14
0,0,0.63,-0.04,-9.1
0,0,0.67,-0.12,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.63,0,-9.14
0,0,0.63,-0.12,-9.1
0,0,0.63,-0.04,-9.02
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.04,-9.06
0,0,0.59,-0.04,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.63,0,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.04,-9.06
0,0,0.67,0,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.63,-0.04,-9.06
0,0,0.59,-0.04,-9.14
0,2428,1.14,0.86,-11.1
85,1268,0.39,-0.08,-9.34
128,3450,0.39,0.16,-9.02
138,982,0.24,0,-8.87
133,2019,0.47,0.04,-9.3
131,2085,0.39,-0.08,-9.22
123,1840,0.47,-0.24,-9.18
93,1951,0.39,-0.31,-9.14
0,2160,0.47,-0.35,-9.22
0,2375,0.55,-0.04,-9.41
0,2350,0.55,-0.31,-9.38
0,2383,0.51,-0.04,-9.1
0,2433,0.55,-0.04,-9.06
0,2352,0.51,-0.12,-9.1
0,1935,0.59,-0.24,-9.06
0,437,0.55,-0.27,-9.22
0,0,0.55,-0.08,-9.1
0,0,0.63,-0.04,-9.1
11,0,0.71,-0.04,-9.1
22,0,0.67,-0.04,-9.14
16,3376,0.9,0.31,-8.75
0,3600,0.59,-0.24,-8.94
0,3727,0.51,-0.08,-8.9
0,3453,0.67,-0.12,-9.14
0,3632,0.67,-0.08,-9.1
2,3611,0.67,-0.2,-9.3
6,3626,0.63,-0.24,-9.1
3,3372,0.71,-0.16,-9.22
1,0,0.75,-0.27,-9.38
4,0,0.59,-0.27,-9.18
16,1984,-0.43,-1.37,-10.75
46,3115,1.02,0.08,-9.41
35,2559,0.94,-0.59,-9.34
28,976,1.06,-0.39,-9.38
32,102,0.55,-0.71,-9.49
40,2331,0.86,-0.67,-9.65
61,0,0.82,0.12,-9.18
64,1146,0.47,-0.31,-9.1
78,2399,0.43,-0.12,-9.06
59,3310,0.51,-0.08,-9.02
36,2394,0.47,-0.04,-9.26
19,143,0.27,-0.2,-8.9
4,0,0.59,-0.2,-9.14
4,367,0.71,-0.04,-9.02
10,1724,0.67,-0.12,-9.1
33,2421,0.63,-0.08,-9.1
48,1596,0.67,-0.12,-9.1
57,43,0.67,-0.04,-9.1
74,1008,0.67,-0.08,-9.14
80,684,0.63,-0.08,-9.1
66,595,0.63,-0.12,-9.18
85,58,0.63,-0.08,-9.06
85,0,0.59,-0.08,-9.06
71,1644,0.63,-0.12,-9.1
80,1775,0.67,-0.04,-9.14
73,1680,0.63,-0.12,-8.98
65,471,0.63,-0.04,-9.18
64,186,0.67,-0.08,-9.1
65,0,0.67,-0.08,-9.14
64,0,0.63,-0.04,-9.1
71,0,0.67,-0.08,-9.18
77,0,0.63,-0.08,-9.1
76,736,0.67,-0.04,-9.06
80,407,0.63,-0.08,-9.14
87,1163,0.71,-0.04,-9.14
71,528,0.71,-0.12,-9.1
67,171,0.67,-0.08,-9.14
65,210,0.71,-0.12,-9.06
69,0,0.71,-0.08,-9.14
65,536,0.67,-0.08,-9.1
78,0,0.71,-0.08,-9.1
80,409,0.67,-0.08,-9.1
72,0,0.67,-0.08,-9.1
76,816,0.71,-0.08,-9.1
75,287,0.67,-0.08,-9.1
70,712,0.67,-0.12,-9.14
71,0,0.71,-0.12,-9.1
64,258,0.71,-0.08,-9.18
64,1083,0.67,-0.08,-9.06
71,1124,0.59,-0.12,-9.06
75,0,0.75,0,-9.38
73,54,0.63,-0.08,-9.1
69,0,0.59,-0.2,-8.94
68,0,0.67,-0.08,-9.18
73,1007,0.71,-0.08,-9.1
69,2318,0.75,-0.08,-9.1
67,1925,0.67,-0.04,-9.1
69,23,0.71,-0.08,-9.14
63,0,0.59,-0.04,-9.1
53,2599,0.67,-0.12,-9.22
57,0,0.75,-0.08,-9.06
64,133,0.71,-0.08,-9.22
66,1228,0.63,-0.04,-9.1
67,1403,0.63,-0.16,-9.02
74,178,0.67,-0.08,-9.06
68,2239,0.59,-0.12,-9.02
74,30,0.71,-0.08,-9.14
78,0,0.71,-0.16,-9.1
78,1933,0.63,-0.04,-9.14
74,1747,0.67,-0.12,-9.14
68,51,0.67,-0.04,-9.1
64,0,0.63,-0.04,-9.1
70,0,0.63,-0.12,-9.06
74,0,0.67,-0.04,-9.14
70,0,0.67,-0.12,-9.14
0,0,0.67,0,-9.1
14,0,0.67,-0.12,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.18
0,0,0.67,-0.04,-9.14
0,0,0.71,-0.08,-9.14
0,0,0.71,-0.08,-9.1
0,0,0.67,-0.08,-9.06
0,0,0.67,-0.08,-9.1
0,0,0.71,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.71,-0.08,-9.06
0,0,0.67,-0.08,-9.14
0,0,0.63,-0.08,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.63,-0.08,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.71,-0.08,-9.1
0,0,0.71,-0.08,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.08,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.12,-9.1
0,0,0.67,-0.12,-9.18
0,0,0.63,-0.04,-9.14
0,0,0.71,-0.08,-9.18
0,0,0.71,-0.08,-9.1
0,0,0.63,-0.08,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.67,0,-9.14
0,0,0.63,-0.04,-9.02
0,0,0.63,-0.08,-9.06
0,0,0.67,-0.08,-9.14
0,0,0.71,-0.04,-9.06
0,0,0.59,-0.08,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.08,-9.06
0,0,0.67,-0.04,-9.18
0,0,0.67,-0.08,-9.1
0,0,0.71,-0.08,-9.06
0,0,0.67,-0.08,-9.06
0,0,0.67,-0.12,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.08,-9.1
0,0,0.59,-0.08,-9.06
0,0,0.71,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.71,-0.12,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.71,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.71,-0.08,-9.14
0,0,0.63,-0.04,-9.1
0,0,0.71,-0.08,-9.18
0,0,0.67,-0.12,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.08,-9.18
0,0,0.67,-0.08,-9.06
0,0,0.67,-0.04,-9.06
0,0,0.63,-0.08,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.63,-0.08,-9.1
0,0,0.71,-0.08,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.08,-9.14
0,0,0.63,-0.04,-9.14
0,0,0.63,-0.08,-9.06
0,0,0.71,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.63,-0.08,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.71,-0.04,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.06
0,0,0.63,-0.12,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.08,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.71,-0.08,-9.1
0,0,0.71,-0.04,-9.14
0,0,0.67,-0.16,-9.18
0,0,0.67,-0.04,-9.1
0,0,0.63,-0.08,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.71,-0.08,-9.14
0,0,0.63,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.12,-9.06
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.08,-9.14
0,0,0.71,-0.04,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.04,-9.06
0,0,0.67,-0.08,-9.06
0,0,0.71,-0.04,-9.14
0,0,0.67,-0.04,-9.06
0,0,0.71,-0.12,-9.14
0,0,0.67,-0.12,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.04,-9.06
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.12,-9.1
0,0,0.67,-0.12,-9.06
0,0,0.67,-0.04,-9.14
0,0,0.71,-0.08,-9.06
0,0,0.63,-0.04,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.18
0,0,0.67,-0.08,-9.1
0,0,0.71,-0.08,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.59,-0.08,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.04,-9.06
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.04,-9.18
0,0,0.71,-0.04,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.71,-0.12,-9.1
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.71,-0.04,-9.1
0,0,0.59,-0.08,-9.14
0,0,0.71,-0.04,-9.1
0,0,0.67,-0.08,-9.06
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.04,-9.1
0,0,0.71,-0.08,-9.1
0,0,0.71,-0.08,-9.14
0,0,0.71,-0.12,-9.1
0,0,0.63,-0.12,-9.18
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.06
0,0,0.59,-0.04,-9.1
0,0,0.75,-0.04,-9.02
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.71,-0.16,-9.22
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.16,-9.18
0,0,0.67,-0.04,-9.06
0,0,0.63,-0.08,-9.18
0,0,0.59,-0.04,-9.14
0,0,0.63,-0.12,-9.1
0,0,0.67,-0.04,-9.06
0,0,0.63,-0.08,-9.06
0,0,0.71,-0.12,-9.14
0,0,0.63,-0.04,-9.14
0,0,0.75,-0.12,-9.18
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.12,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.63,-0.12,-9.14
0,0,0.63,-0.04,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.18
0,0,0.71,-0.04,-9.14
0,0,0.71,-0.12,-9.14
0,0,0.78,-0.08,-9.14
0,0,0.75,-0.08,-9.22
0,0,0.71,-0.12,-9.06
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.12,-9.1
0,0,0.59,-0.12,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.71,-0.12,-9.1
0,0,0.59,-0.04,-9.18
0,0,0.63,-0.12,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.12,-9.18
0,0,0.67,-0.04,-9.18
0,0,0.67,-0.08,-9.14
0,0,0.63,-0.12,-9.18
0,0,0.67,-0.08,-9.18
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.71,-0.08,-9.1
0,0,0.67,-0.12,-9.18
0,0,0.63,-0.08,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.71,-0.16,-9.18
0,0,0.71,-0.12,-9.18
0,0,0.63,-0.08,-9.14
0,0,0.67,-0.08,-9.06
0,0,0.67,-0.04,-9.06
0,0,0.63,-0.12,-9.1
0,0,0.71,-0.08,-9.1
0,0,0.71,-0.12,-9.14
98,0,0.63,-0.08,-9.18
158,0,0.67,0,-9.1
155,0,0.71,-0.08,-9.14
35,0,0.67,-0.08,-9.14
117,0,0.71,-0.08,-9.14
128,0,1.06,0.12,-8.83
0,0,0.35,-0.55,-9.57
0,0,0.59,-0.47,-8.98
0,0,0.55,-0.16,-9.22
0,0,0.71,-0.2,-9.18
0,0,0.71,-0.2,-8.87
0,0,0.59,-0.04,-9.14
0,0,0.35,0.24,-8.94
130,0,0.39,0.04,-9.57
173,0,0.39,0.12,-9.3
177,0,0.31,0.12,-8.55
160,0,0.67,0.16,-9.22
116,0,1.77,0.31,-9.85
110,0,2.98,-0.08,-9.22
127,0,3.73,-0.71,-8.51
123,0,4.79,-1.26,-8.67
127,0,4.24,-2.12,-7.1
133,0,4,-4.24,-7.77
165,0,2.67,-3.57,-7.85
206,0,1.06,-3.73,-7.49
255,0,-0.08,-3.84,-7.65
294,0,-1.45,-2.35,-8.08
297,0,-1.33,-1.65,-8.79
285,0,-0.55,0.24,-10
272,0,0.51,0.12,-9.38
209,0,2.2,0.67,-9.57
155,0,3.14,0.12,-9.69
141,0,3.45,-2.43,-8.55
123,0,4.24,-2.67,-8.36
127,0,2.86,-4.9,-6.2
135,0,1.77,-5.33,-6.98
201,0,0,-4.04,-6.43
258,0,-2.39,-2.98,-7.37
299,0,-2.67,-0.98,-6.94
299,0,-0.82,-0.35,-9.22
241,0,0.9,0.71,-11.77
176,0,2.51,1.84,-9.45
128,0,4.16,1.18,-9.18
86,0,5.1,1.33,-8.12
59,0,6.35,1.02,-6.79
50,0,7.1,0.71,-6.04
49,0,7.26,0.71,-6.24
54,0,6.43,0.75,-7.65
114,0,5.84,0.71,-8.67
196,0,3.18,0.51,-9.77
272,0,-1.14,0.67,-10.28
336,0,-2.39,0.2,-9.45
348,0,-4.35,-0.04,-7.57
336,0,-4,0.24,-5.84
337,0,-3.3,-0.63,-7.22
315,0,-3.45,-2.08,-6.16
265,0,-0.55,2,-9.92
227,0,0.67,0.47,-11.85
213,0,-0.59,0.71,-7.65
206,0,0.51,0.43,-10.36
157,0,1.53,0.31,-9.92
201,0,1.22,0.2,-9.3
183,0,1.33,0.04,-12.63
203,0,0.35,0.12,-7.69
199,0,0.51,2.12,-8.43
186,0,1.37,-0.12,-9.38
145,0,-0.86,0.75,-8.9
171,0,2.35,0.75,-11.1
176,0,-0.43,0.2,-7.26
126,0,1.69,-0.2,-9.73
160,0,0.67,0.39,-8.47
154,0,0.63,0.2,-9.22
159,0,1.06,0.75,-10.04
149,0,0.94,0.04,-10.63
157,0,0.08,0.47,-7.65
154,0,0.71,0.08,-9.57
144,0,0.63,-0.08,-8.75
128,0,1.18,0.04,-9.26
134,0,1.14,0.31,-9.65
187,0,0.35,0.59,-8.9
163,0,0.51,0.24,-9.34
144,0,0.75,-0.04,-9.14
128,0,0.63,-0.12,-9.18
122,0,1.06,0.04,-10.55
176,0,0.27,0.24,-8.87
139,0,0.86,0.31,-9.26
147,0,0.12,0.27,-8.2
140,0,0.24,0.2,-8.32
160,0,0.51,0.04,-9.69
0,0,0.59,0.12,-9.22
44,0,0.63,0.04,-9.14
26,0,0.59,0.12,-9.14
32,0,0.59,0.08,-9.14
61,0,0.59,0.04,-9.18
109,0,0.63,0.08,-9.06
176,0,0.55,0.12,-9.14
186,0,0.55,0.08,-9.1
23,0,0.59,0.04,-9.18
195,0,0.63,0.08,-9.18
202,0,0.59,0.08,-9.18
208,0,0.59,0.04,-9.14
202,0,0.59,0.08,-9.14
189,0,0.59,0.08,-9.1
77,0,0.59,0.04,-9.1
0,0,0.59,0.08,-9.1
0,0,0.59,0.08,-9.14
0,0,0.59,0.04,-9.1
0,0,0.67,0.08,-9.22
0,0,0.63,0.04,-9.1
0,0,0.55,0.08,-9.1
0,0,0.59,0.12,-9.14
0,0,0.59,0.08,-9.14
0,0,0.63,0.12,-9.1
0,2043,0.55,0.51,-9.22
0,1387,0.9,0.04,-9.06
0,983,0.59,-0.04,-9.26
0,2821,0.35,0,-8.98
0,3120,0.51,0,-8.94
0,2801,0.55,0.04,-9.22
0,2795,0.35,0.04,-9.02
0,2736,0.47,0.08,-9.02
0,2861,0.39,0,-8.98
0,2862,0.51,0.04,-8.98
0,2759,0.51,0.04,-9.14
0,2690,0.75,-0.31,-9.89
0,3194,-0.98,0.12,-8.47
0,2498,1.02,-0.2,-9.18
0,2533,0,0,-8.9
0,2553,1.33,-0.16,-9.57
0,2099,0.67,0.51,-9.1
0,2659,0.63,-0.08,-8.75
0,1919,0.82,-0.31,-9.45
0,2635,0.63,-0.35,-8.94
0,2166,0.98,-0.16,-8.94
0,1830,0.98,-0.43,-9.26
0,2016,0.63,-0.08,-8.87
0,2158,1.02,-0.63,-9.38
0,2018,0.86,-0.35,-9.06
0,2406,0.75,-0.43,-9.3
0,2022,0.63,-0.08,-8.83
0,2319,0.67,-0.31,-9.22
0,2595,0.67,-0.27,-9.18
0,2115,0.31,-0.2,-8.9
0,66,0.78,-0.16,-9.02
0,0,0.63,-0.2,-9.14
0,2422,0.71,-0.16,-9.1
0,1493,0.75,-0.12,-9.14
0,175,0.63,-0.08,-9.02
0,0,0.67,-0.08,-9.14
0,0,0.63,-0.08,-9.14
0,0,0.71,-0.08,-9.18
0,0,0.67,-0.12,-9.06
0,0,0.63,-0.12,-9.1
0,0,0.67,-0.12,-9.06
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.63,-0.08,-9.14
0,0,0.63,-0.08,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.63,-0.08,-9.06
0,0,0.71,-0.08,-9.14
0,0,0.71,-0.08,-9.1
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.71,-0.12,-9.18
0,0,0.63,-0.16,-9.18
0,0,0.67,-0.04,-9.14
0,0,0.71,-0.08,-9.18
0,0,0.71,-0.08,-9.1
0,0,0.63,-0.08,-9.1
0,0,0.67,-0.08,-9.18
0,0,0.67,-0.08,-9.1
0,0,0.71,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.59,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.12,-9.06
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.67,-0.16,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.63,-0.16,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.71,-0.12,-9.1
0,0,0.67,-0.08,-9.18
0,0,0.67,-0.12,-9.1
0,0,0.71,-0.08,-9.14
0,0,0.71,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.63,-0.12,-9.06
0,0,0.67,-0.12,-9.14
0,0,0.71,-0.08,-9.14
0,0,0.67,-0.12,-9.14
0,0,0.71,-0.08,-9.1
0,0,0.59,-0.12,-9.1
0,0,0.67,-0.12,-9.06
0,0,0.67,-0.04,-9.1
0,0,0.71,-0.08,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.71,-0.12,-9.06
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.12,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.08,-9.18
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.63,-0.08,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.12,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.71,-0.08,-9.1
0,0,0.71,-0.08,-9.18
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.12,-9.14
0,0,0.71,-0.08,-9.1
0,0,0.63,-0.04,-9.06
0,0,0.67,-0.04,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.67,-0.08,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.71,-0.12,-9.1
0,0,0.63,-0.12,-9.14
